model,task,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_MAE
SchNet,lumo,0.5,1.5,0,0.5,0.025899
SchNet,u0,0.5,1.5,0,0.5,0.01396
SchNet,mu,0.5,1.5,0,0.5,0.030631
SchNet,zpve,0.5,1.5,0,0.5,0.001703
SchNet,alpha,0.5,1.5,0,0.5,0.068099
SchNet,h298,0.5,1.5,0,0.5,0.01438
SchNet,homo,0.5,1.5,0,0.5,0.03221
SchNet,r2,0.5,1.5,0,0.5,0.133393
SchNet,u298,0.5,1.5,0,0.5,0.014139
SchNet,g298,0.5,1.5,0,0.5,0.014205
SchNet,cv,0.5,0,0,1,0.031938
SchNet,gap,0.5,0,0,1,0.050314
SchNet,lumo,0.5,0,0,1,0.025826
SchNet,u0,0.5,0,0,1,0.013932
SchNet,mu,0.5,0,0,1,0.030873
SchNet,zpve,0.5,0,0,1,0.00173
SchNet,alpha,0.5,0,0,1,0.069336
SchNet,h298,0.5,0,0,1,0.01413
SchNet,homo,0.5,0,0,1,0.032063
SchNet,r2,0.5,0,0,1,0.129088
SchNet,u298,0.5,0,0,1,0.014033
SchNet,g298,0.5,0,0,1,0.013873
SchNet,cv,0.5,1.5,1.5,0.5,0.031637
SchNet,gap,0.5,1.5,1.5,0.5,0.050829
SchNet,lumo,0.5,1.5,1.5,0.5,0.026363
SchNet,u0,0.5,1.5,1.5,0.5,0.013888
SchNet,mu,0.5,1.5,1.5,0.5,0.031009
SchNet,zpve,0.5,1.5,1.5,0.5,0.001718
SchNet,alpha,0.5,1.5,1.5,0.5,0.068742
SchNet,h298,0.5,1.5,1.5,0.5,0.01423
SchNet,homo,0.5,1.5,1.5,0.5,0.031685
SchNet,r2,0.5,1.5,1.5,0.5,0.135411
SchNet,u298,0.5,1.5,1.5,0.5,0.014075
SchNet,g298,0.5,1.5,1.5,0.5,0.014319
SchNet,cv,0.5,0,-1.5,1,0.031627
SchNet,gap,0.5,0,-1.5,1,0.050307
SchNet,lumo,0.5,0,-1.5,1,0.026092
SchNet,u0,0.5,0,-1.5,1,0.013813
SchNet,mu,0.5,0,-1.5,1,0.030635
SchNet,zpve,0.5,0,-1.5,1,0.001696
SchNet,alpha,0.5,0,-1.5,1,0.069574
SchNet,h298,0.5,0,-1.5,1,0.014047
SchNet,homo,0.5,0,-1.5,1,0.031626
SchNet,r2,0.5,0,-1.5,1,0.138487
SchNet,u298,0.5,0,-1.5,1,0.013909
SchNet,g298,0.5,0,-1.5,1,0.014036
SchNet,cv,1.0,0,0,0.5,0.032062
